Designator,Mid X,Mid Y,Rotation,Layer
A101,115.57,-28.448,270.0,bottom
A301,133.34,-54.61,180.0,top
A401,154.93,-54.61,180.0,top
A501,175.25,-54.61,180.0,top
C1001,109.22,-144.78,90.0,top
C101,174.8419,-70.39,180.0,top
C102,160.6179,-71.66,180.0,top
C1101,128.56,-144.78,90.0,top
C1201,146.05,-144.78,90.0,top
C1301,163.83,-144.78,90.0,top
C1401,181.61,-144.78,90.0,top
C1501,199.39,-144.78,90.0,top
C201,138.7725,-104.14,0.0,top
C202,154.6475,-104.14,180.0,top
C203,138.7725,-121.285,0.0,top
C204,154.38,-121.63,0.0,top
C801,73.66,-144.78,90.0,top
C901,91.44,-144.78,90.0,top
D1701,192.1875,-63.5,0.0,top
D1801,192.1875,-51.1175,0.0,top
D1901,192.1875,-39.37,0.0,top
J1001,101.6,-146.05,90.0,top
J1002,100.33,-152.4,0.0,top
J101,55.88,-57.15,180.0,top
J102,53.34,-86.36,0.0,top
J103,119.38,-79.385,0.0,top
J104,207.264,-110.8964,0.0,top
J1101,120.94,-146.05,90.0,top
J1102,119.67,-152.4,0.0,top
J1201,138.43,-146.05,90.0,top
J1202,137.16,-152.4,0.0,top
J12V_1,199.39,-29.21,180.0,top
J1301,156.21,-146.05,90.0,top
J1302,154.94,-152.4,0.0,top
J1401,173.99,-146.05,90.0,top
J1402,172.72,-152.4,0.0,top
J1501,191.77,-146.05,90.0,top
J1502,190.5,-152.4,0.0,top
J1601,208.28,-78.74,90.0,top
J1602,199.39,-75.565,180.0,top
J1701,208.28,-67.31,90.0,top
J1702,199.39,-64.135,180.0,top
J1801,208.28,-54.9275,90.0,top
J1802,199.39,-51.7525,180.0,top
J1901,208.28,-43.18,90.0,top
J1902,199.39,-40.005,180.0,top
J201,52.832,-116.078,0.0,top
J301,119.38,-29.21,0.0,top
J401,140.97,-29.21,0.0,top
J501,162.56,-29.21,0.0,top
J5V_1,188.595,-29.21,180.0,top
J701,208.28,-104.14,90.0,top
J702,208.28,-93.98,90.0,top
J801,66.04,-146.05,90.0,top
J802,64.77,-152.4,0.0,top
J901,83.82,-146.05,90.0,top
J902,82.55,-152.4,0.0,top
LED1601,192.1875,-74.93,0.0,top
LED_12V_101,135.6725,-74.93,180.0,top
LED_5V_101,135.6725,-71.12,180.0,top
LED_OB_101,135.6725,-67.31,180.0,top
Q1601,194.437,-79.375,0.0,top
Q1701,194.437,-67.945,0.0,top
Q1801,194.437,-55.5625,0.0,top
Q1901,194.437,-43.815,0.0,top
R1001,109.22,-139.42,90.0,top
R101,56.87,-66.56,0.0,top
R102,56.87,-71.12,0.0,top
R103,128.0525,-67.31,0.0,top
R104,128.0525,-71.12,0.0,top
R105,128.0525,-74.93,0.0,top
R1101,128.56,-139.42,90.0,top
R1201,146.05,-139.42,90.0,top
R1301,163.83,-139.42,90.0,top
R1401,181.61,-139.42,90.0,top
R1501,199.39,-139.42,90.0,top
R1601,186.41,-73.66,180.0,top
R1602,188.595,-79.095,270.0,top
R1701,186.41,-62.23,180.0,top
R1702,188.595,-67.665,270.0,top
R1801,186.41,-49.8475,180.0,top
R1802,188.595,-55.2825,270.0,top
R1901,186.41,-38.1,180.0,top
R1902,188.595,-43.535,270.0,top
R201,138.785,-107.315,180.0,top
R202,154.66,-107.315,0.0,top
R203,138.785,-124.46,180.0,top
R204,154.38,-124.86,180.0,top
R801,73.66,-139.42,90.0,top
R901,91.44,-139.42,90.0,top
SW1001,100.62,-141.68,90.0,top
SW1101,119.96,-141.68,90.0,top
SW1201,137.45,-141.68,90.0,top
SW1301,155.23,-141.68,90.0,top
SW1401,173.01,-141.68,90.0,top
SW1501,190.79,-141.68,90.0,top
SW201,138.43,-112.74,0.0,top
SW202,143.51,-104.775,0.0,top
SW203,143.51,-120.65,0.0,top
SW204,148.59,-112.74,0.0,top
SW801,65.06,-141.68,90.0,top
SW901,82.84,-141.68,90.0,top
SW_RESET101,118.908,-70.56,90.0,top
U701,194.31,-102.87,90.0,top
